Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,
YI,"111, Inc.",9.62,76811419.1,7984555,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi,
PIH,"1347 Property Insurance Holdings, Inc.",5.84,34951033.44,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.1,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,2.0277,63105191.2674,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",12.95,831109904.45,n/a,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
FCCY,1st Constitution Bancorp (NJ),20.11,169010312.12,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,47.28,1227628840.56,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",10.76,667730135.04,62056704,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",52.34,3031669512.08,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
TPNL,"3PEA International, Inc.",3.85,168132445.25,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/tpnl,
JOBS,"51job, Inc.",67.35,2453976116.85,36436171,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
EGHT,8x8 Inc,18.26,1741477765.06,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,
AAON,"AAON, Inc.",43.12,2246316435.44,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
ABEO,Abeona Therapeutics Inc.,7.67,367734207.62,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,3.67,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,
ABIL,Ability Inc.,2.87,9484422.99,n/a,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,
ABMD,"ABIOMED, Inc.",330.63,14891418812.01,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,1.62,269900496.9,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,8.93,601548821.7,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",43.78,1770604915.86,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,3.22,159838607.18,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,
ACHC,"Acadia Healthcare Company, Inc.",36.01,3178102701.15,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,17.81,2227577860.17,n/a,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,
ACST,"Acasti Pharma, Inc.",0.7953,62135649.3351,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,
AXDX,"Accelerate Diagnostics, Inc.",14.82,803225371.26,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,51.36,2372336067.84,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,
ANCX,Access National Corporation,26.2,544893006.6,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx,
ARAY,Accuray Incorporated,4.76,412501647.6,n/a,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,
ACRX,"AcelRx Pharmaceuticals, Inc.",3.16,195626979.52,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,
ACER,Acer Therapeutics Inc.,24.36,244890787.68,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,
ACET,Aceto Corporation,1.71,52609242.69,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet,
AKAO,"Achaogen, Inc.",1.93,89011293.13,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao,
ACHV,"Achieve Life Sciences, Inc. ",1.84,12366829.52,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,
ACHN,"Achillion Pharmaceuticals, Inc.",2.7,374263659,n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,
ACIW,"ACI Worldwide, Inc.",28.8,3340213776,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,
ACRS,"Aclaris Therapeutics, Inc.",9.64,394624881.24,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,
ACMR,"ACM Research, Inc.",11.46,182004052.8,n/a,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,
ACNB,ACNB Corporation,37.79,265995042.72,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,
ACOR,"Acorda Therapeutics, Inc.",19.3,917875942.7,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,
ATVI,"Activision Blizzard, Inc",52.55,40098315230.9,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,
ADMS,"Adamas Pharmaceuticals, Inc.",11.52,314905340.16,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,2.57,121538790.06,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,
ADAP,Adaptimmune Therapeutics plc,6,459266208,76544368,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,
ADUS,Addus HomeCare Corporation,70.02,917146817.1,n/a,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,
